Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000010067	Rassf1	0.68	4.73	0.00	0.04
ENSMUSG00000010054	Tusc2	-0.21	6.11	0.46	1.00
ENSMUSG00000010047	Hyal2	0.04	2.72	1.00	1.00
ENSMUSG00000010051	Hyal1	-0.60	2.12	0.09	0.46
ENSMUSG00000079334	Nat6	0.02	3.54	1.00	1.00
ENSMUSG00000036091	Hyal3	1.12	-0.25	0.08	0.39
ENSMUSG00000010048	Ifrd2	-0.22	2.30	0.69	1.00
ENSMUSG00000103164	Gm38150	0.68	-1.54	0.76	1.00
ENSMUSG00000057969	Sema3b	-0.26	2.32	0.69	1.00
ENSMUSG00000032562	Gnai2	0.59	7.90	0.01	0.07
ENSMUSG00000010064	Slc38a3	-0.38	4.97	0.12	0.53
ENSMUSG00000034837	Gnat1	-2.04	-2.11	0.65	1.00
ENSMUSG00000034684	Sema3f	-0.51	2.74	0.15	0.61
ENSMUSG00000032580	Rbm5	-0.37	6.81	0.10	0.46
ENSMUSG00000032582	Rbm6	0.12	6.11	0.77	1.00
ENSMUSG00000032583	Mon1a	-0.41	3.73	0.23	0.79
ENSMUSG00000032584	Mst1r	-0.03	-0.03	1.00	1.00
ENSMUSG00000032936	Camkv	-0.70	7.52	0.00	0.02
ENSMUSG00000032586	Traip	-0.22	4.23	0.64	1.00
ENSMUSG00000032596	Uba7	4.13	4.63	0.00	0.00
ENSMUSG00000079323	Gm20661	1.00	-1.41	0.73	1.00
ENSMUSG00000042106	Fam212a	0.79	1.31	0.17	0.67
ENSMUSG00000032595	Cdhr4	1.59	1.43	0.00	0.01
ENSMUSG00000032594	Ip6k1	0.30	6.76	0.36	1.00
ENSMUSG00000070284	Gmppb	0.81	3.44	0.45	1.00
ENSMUSG00000041528	Rnf123	0.23	4.39	0.88	1.00
ENSMUSG00000032593	Amigo3	0.54	0.92	0.50	1.00
ENSMUSG00000032591	Mst1	1.06	-2.65	0.98	1.00
ENSMUSG00000032590	Apeh	-0.27	4.39	0.45	1.00
ENSMUSG00000032589	Bsn	-0.38	6.96	0.15	0.61
ENSMUSG00000103658	Gm37201	-1.37	-1.58	0.39	1.00
ENSMUSG00000039952	Dag1	0.09	6.02	0.87	1.00
ENSMUSG00000032606	Nicn1	-0.52	6.41	0.01	0.07
ENSMUSG00000032607	Amt	-0.55	4.50	0.01	0.12
ENSMUSG00000039461	Tcta	0.05	3.84	1.00	1.00
ENSMUSG00000007815	Rhoa	0.31	7.83	0.23	0.79
ENSMUSG00000102554	Gm37568	-0.82	-2.27	0.90	1.00
ENSMUSG00000063856	Gpx1	1.55	7.16	0.00	0.00
ENSMUSG00000032612	Usp4	0.10	5.89	0.85	1.00
ENSMUSG00000104280	Rps2-ps11	-0.04	-1.12	1.00	1.00
ENSMUSG00000104399	Gm37963	-1.06	-1.72	0.69	1.00
ENSMUSG00000032611	1700102P08Rik	-0.36	-0.11	0.82	1.00
ENSMUSG00000047220	Ccdc36	-0.31	-0.15	0.86	1.00
ENSMUSG00000032609	Klhdc8b	-0.73	4.16	0.01	0.06
ENSMUSG00000049305	Ccdc71	0.08	5.37	0.88	1.00
ENSMUSG00000052911	Lamb2	-0.45	4.21	0.10	0.48
ENSMUSG00000006676	Usp19	0.21	6.39	0.46	1.00
ENSMUSG00000032604	Qars	0.32	4.96	0.29	0.90
ENSMUSG00000006673	Qrich1	0.31	6.13	0.27	0.86
ENSMUSG00000062867	Impdh2	0.04	1.19	1.00	1.00
ENSMUSG00000070283	Ndufaf3	-0.12	5.10	0.76	1.00
ENSMUSG00000103103	4833445I07Rik	-0.79	-0.99	0.45	1.00
ENSMUSG00000019039	Dalrd3	-0.09	5.57	1.00	1.00
ENSMUSG00000066357	Wdr6	-0.04	6.71	1.00	1.00
ENSMUSG00000006675	P4htm	-0.05	5.50	0.98	1.00
ENSMUSG00000102770	Gm38163	0.08	1.28	1.00	1.00
ENSMUSG00000064145	Arih2	0.67	5.45	0.00	0.03
ENSMUSG00000032602	Slc25a20	0.28	3.75	0.42	1.00
ENSMUSG00000032601	Prkar2a	-0.26	6.80	0.27	0.87
ENSMUSG00000032599	Ip6k2	0.22	6.06	0.44	1.00
ENSMUSG00000032598	Nckipsd	-0.46	5.39	0.03	0.18
ENSMUSG00000023473	Celsr3	-0.27	5.74	0.53	1.00
ENSMUSG00000023259	Slc26a6	-0.63	2.75	0.04	0.27
ENSMUSG00000025652	Tmem89	2.76	-1.37	0.02	0.12
ENSMUSG00000025651	Uqcrc1	-0.08	6.70	0.91	1.00
ENSMUSG00000025650	Col7a1	-0.23	1.21	0.84	1.00
ENSMUSG00000049699	Ucn2	2.18	0.32	0.00	0.02
ENSMUSG00000103811	Gm38004	3.64	-2.46	0.36	1.00
ENSMUSG00000025648	Pfkfb4	0.70	3.13	0.01	0.10
ENSMUSG00000025647	Shisa5	2.30	7.48	0.00	0.00
ENSMUSG00000025646	Atrip	-0.16	-2.26	1.00	1.00
ENSMUSG00000091537	Tma7	-0.08	5.73	0.91	1.00
ENSMUSG00000025645	Ccdc51	-0.59	2.21	0.24	0.81
ENSMUSG00000053646	Plxnb1	-0.54	4.89	0.07	0.37
ENSMUSG00000047237	Fbxw21	1.51	-2.89	1.00	1.00
ENSMUSG00000049314	Fbxw13	-0.21	-2.80	1.00	1.00
ENSMUSG00000061701	Fbxw20	-1.85	-2.58	0.76	1.00
ENSMUSG00000105589	Fbxw14	-2.48	-2.80	0.88	1.00
ENSMUSG00000054087	Fbxw28	2.77	-2.73	0.78	1.00
ENSMUSG00000074062	Fbxw16	-1.72	-2.88	1.00	1.00
ENSMUSG00000074061	Fbxw19	-0.63	-0.57	0.53	1.00
ENSMUSG00000104572	Fbxw23	3.99	-2.39	0.42	1.00
ENSMUSG00000074060	Fbxw15	0.52	-2.72	1.00	1.00
ENSMUSG00000062275	Fbxw24	-1.74	-2.88	1.00	1.00
ENSMUSG00000074059	Fbxw18	1.72	-2.51	0.85	1.00
ENSMUSG00000050074	Spink8	0.10	2.32	1.00	1.00
ENSMUSG00000070282	3000002C10Rik	-0.59	-0.16	0.66	1.00
ENSMUSG00000032478	Nme6	0.01	2.04	1.00	1.00
ENSMUSG00000038357	Camp	1.60	-0.75	0.05	0.29
ENSMUSG00000032477	Cdc25a	0.40	3.41	0.20	0.74
ENSMUSG00000032479	Map4	-0.02	8.00	1.00	1.00
ENSMUSG00000106208	Gm4734	0.18	0.50	0.97	1.00
ENSMUSG00000032480	Dhx30	0.03	6.82	1.00	1.00
ENSMUSG00000032481	Smarcc1	-0.45	6.59	0.03	0.20
ENSMUSG00000032482	Cspg5	-0.25	7.59	0.32	0.95
ENSMUSG00000054836	Elp6	-3.22	5.38	0.01	0.09
ENSMUSG00000032485	Scap	-0.14	6.12	0.66	1.00
ENSMUSG00000036057	Ptpn23	0.10	4.49	0.89	1.00
ENSMUSG00000032484	Ngp	1.03	0.28	0.16	0.64
ENSMUSG00000054792	Klhl18	-0.12	4.06	0.83	1.00
ENSMUSG00000032489	Kif9	-0.42	1.70	0.52	1.00
ENSMUSG00000044791	Setd2	0.07	6.48	0.93	1.00
ENSMUSG00000032491	Nradd	0.54	1.45	0.29	0.90
ENSMUSG00000056724	Nbeal2	-0.12	2.40	0.90	1.00
ENSMUSG00000105127	Gm42470	-1.72	-2.88	1.00	1.00
ENSMUSG00000019659	Ccdc12	0.44	5.19	0.09	0.44
ENSMUSG00000032492	Pth1r	-0.36	3.79	0.31	0.93
ENSMUSG00000059741	Myl3	0.98	-1.18	0.55	1.00
ENSMUSG00000032493	Prss44	0.95	-2.65	0.90	1.00
ENSMUSG00000058398	Prss43	-0.29	1.21	0.67	1.00
ENSMUSG00000047257	Prss45	0.94	-0.26	0.28	0.89
ENSMUSG00000049719	Prss46	4.52	-1.08	0.00	0.00
ENSMUSG00000048752	Prss50	0.90	-1.10	0.69	1.00
ENSMUSG00000049555	Tmie	-0.19	3.98	0.71	1.00
ENSMUSG00000044037	Als2cl	0.23	2.90	0.65	1.00
ENSMUSG00000032494	Tdgf1	0.35	0.11	0.83	1.00
ENSMUSG00000032495	Lrrc2	-0.25	1.64	0.75	1.00
ENSMUSG00000066319	Rtp3	-0.47	-1.92	0.94	1.00
ENSMUSG00000032496	Ltf	1.11	-1.01	0.39	1.00
ENSMUSG00000043953	Ccrl2	3.84	3.43	0.00	0.00
ENSMUSG00000097529	Rp31-ps19	1.39	-2.89	1.00	1.00
ENSMUSG00000032497	Lrrfip2	0.17	5.45	0.70	1.00
ENSMUSG00000032498	Mlh1	-0.18	3.17	0.69	1.00
ENSMUSG00000046785	Epm2aip1	-0.17	6.32	0.58	1.00
ENSMUSG00000062296	Trank1	-0.35	5.77	0.18	0.69
ENSMUSG00000032500	Dclk3	-0.21	2.43	0.68	1.00
ENSMUSG00000032502	Stac	0.15	1.09	0.95	1.00
ENSMUSG00000032503	Arpp21	-0.79	8.42	0.00	0.01
ENSMUSG00000089718	2310075C17Rik	1.15	-0.50	0.20	0.73
ENSMUSG00000087038	2900079G21Rik	-0.54	2.17	0.11	0.52
ENSMUSG00000110876	RP23-311A1.1	1.53	-2.89	1.00	1.00
ENSMUSG00000110996	RP24-300B21.2	-0.62	-0.97	0.70	1.00
ENSMUSG00000111235	RP24-300B21.1	-1.74	-2.88	1.00	1.00
ENSMUSG00000111022	RP23-246D7.1	-2.49	-2.80	0.84	1.00
ENSMUSG00000110784	RP23-246D7.2	-2.47	-2.80	0.84	1.00
ENSMUSG00000111532	RP23-471H21.3	-1.73	-2.88	1.00	1.00
ENSMUSG00000109890	AU023762	-1.00	1.32	0.11	0.50
ENSMUSG00000111388	RP24-365A12.1	-0.32	-2.65	1.00	1.00
ENSMUSG00000111364	RP24-365A12.2	-0.75	-1.51	0.59	1.00
ENSMUSG00000032504	Pdcd6ip	0.05	6.13	0.97	1.00
ENSMUSG00000033392	Clasp2	-0.27	6.77	0.27	0.87
ENSMUSG00000009741	Ubp1	0.51	6.33	0.16	0.64
ENSMUSG00000032507	Fbxl2	-0.70	4.00	0.05	0.30
ENSMUSG00000086596	Susd5	-0.93	1.64	0.10	0.48
ENSMUSG00000111734	RP23-63L7.3	-1.18	-2.51	0.97	1.00
ENSMUSG00000064299	4921528I07Rik	-1.59	-2.65	0.93	1.00
ENSMUSG00000074039	4930520O04Rik	0.43	-0.53	0.80	1.00
ENSMUSG00000032431	Crtap	0.78	2.18	0.02	0.14
ENSMUSG00000045594	Glb1	-0.18	3.81	0.68	1.00
ENSMUSG00000079260	Tmppe	-4.29	-2.38	0.07	0.39
ENSMUSG00000047898	Ccr4	1.51	-2.89	1.00	1.00
ENSMUSG00000079259	Trim71	-1.52	-0.96	0.27	0.87
ENSMUSG00000056167	Cnot10	-0.35	5.71	0.12	0.52
ENSMUSG00000111744	RP23-405I13.1	-0.16	4.92	0.70	1.00
ENSMUSG00000032435	Dync1li1	0.07	6.17	0.89	1.00
ENSMUSG00000032434	Cmtm6	1.21	4.36	0.00	0.00
ENSMUSG00000032436	Cmtm7	0.64	1.95	0.09	0.44
ENSMUSG00000041012	Cmtm8	-0.59	2.10	0.23	0.79
ENSMUSG00000050627	Gpd1l	-0.22	5.88	0.52	1.00
ENSMUSG00000040875	Osbpl10	-0.34	1.38	0.58	1.00
ENSMUSG00000050621	Rps27rt	0.21	6.78	0.55	1.00
ENSMUSG00000032437	Stt3b	0.06	5.67	0.95	1.00
ENSMUSG00000111564	RP23-197K11.6	0.45	-2.52	1.00	1.00
ENSMUSG00000074034	Gm5921	0.24	-1.69	1.00	1.00
ENSMUSG00000111398	RP23-451B4.1	1.12	-1.84	0.69	1.00
ENSMUSG00000110905	RP23-451B4.2	-3.87	-2.51	0.15	0.61
ENSMUSG00000056880	Gadl1	-0.75	-0.64	0.61	1.00
ENSMUSG00000080848	Gm9385	0.08	7.27	0.90	1.00
ENSMUSG00000032440	Tgfbr2	1.44	4.14	0.00	0.00
ENSMUSG00000111324	RP23-396C4.1	1.00	-2.22	0.78	1.00
ENSMUSG00000110752	RP23-396C4.2	1.03	-1.35	0.41	1.00
ENSMUSG00000039607	Rbms3	-0.19	5.66	0.58	1.00
ENSMUSG00000079669	Gm17396	0.18	1.71	0.82	1.00
ENSMUSG00000092504	Gm20396	-2.48	-2.80	0.88	1.00
ENSMUSG00000097240	Gm26614	-1.83	-2.01	0.47	1.00
ENSMUSG00000032443	Zcwpw2	-0.46	1.29	0.41	1.00
ENSMUSG00000039285	Azi2	0.60	5.80	0.00	0.02
ENSMUSG00000039163	Cmc1	0.41	4.22	0.13	0.56
ENSMUSG00000097402	Gm17399	-1.14	-1.40	0.42	1.00
ENSMUSG00000032446	Eomes	0.19	2.15	0.88	1.00
ENSMUSG00000038708	Golga4	-0.12	7.06	0.78	1.00
ENSMUSG00000110676	Gm45897	-2.97	-2.72	0.77	1.00
ENSMUSG00000039115	Itga9	-0.41	2.01	0.42	1.00
ENSMUSG00000066270	Gm10157	1.99	-1.42	0.12	0.53
ENSMUSG00000087041	Gm16295	-7.08	-0.69	0.04	0.25
ENSMUSG00000047409	Ctdspl	-0.22	4.67	0.52	1.00
ENSMUSG00000038775	Vill	0.40	1.67	0.53	1.00
ENSMUSG00000010660	Plcd1	0.54	3.19	0.10	0.49
ENSMUSG00000038060	Dlec1	-0.77	0.10	0.34	0.97
ENSMUSG00000010651	Acaa1b	1.13	-0.82	0.43	1.00
ENSMUSG00000074029	Gm10608	-1.69	-2.89	1.00	1.00
ENSMUSG00000111197	RP23-129C12.8	-0.04	-1.17	1.00	1.00
ENSMUSG00000070280	Slc22a14	1.60	-2.47	0.84	1.00
ENSMUSG00000074028	Slc22a13	3.19	-2.65	0.71	1.00
ENSMUSG00000092212	Slc22a13b-ps	-0.74	-0.14	0.45	1.00
ENSMUSG00000036737	Oxsr1	0.10	4.34	0.88	1.00
ENSMUSG00000032508	Myd88	2.69	4.77	0.00	0.00
ENSMUSG00000036138	Acaa1a	0.06	5.38	0.95	1.00
ENSMUSG00000035769	Xylb	-0.33	1.86	0.56	1.00
ENSMUSG00000061393	Acvr2b	-0.74	4.75	0.00	0.01
ENSMUSG00000097504	4930516B21Rik	-3.34	-2.65	0.70	1.00
ENSMUSG00000042787	Exog	-0.06	3.79	0.98	1.00
ENSMUSG00000032511	Scn5a	-0.25	1.57	0.85	1.00
ENSMUSG00000034533	Scn10a	1.12	-0.67	0.37	1.00
ENSMUSG00000034115	Scn11a	-1.02	-1.31	0.61	1.00
ENSMUSG00000032512	Wdr48	-0.01	5.53	1.00	1.00
ENSMUSG00000052336	Cx3cr1	0.03	6.14	1.00	1.00
ENSMUSG00000032513	Gorasp1	-0.36	3.22	0.48	1.00
ENSMUSG00000032514	Ttc21a	0.07	-0.50	1.00	1.00
ENSMUSG00000032515	Csrnp1	3.13	4.93	0.00	0.00
ENSMUSG00000111369	RP24-233B16.2	1.42	-1.86	0.53	1.00
ENSMUSG00000079243	Xirp1	2.15	-1.73	0.27	0.86
ENSMUSG00000032519	Slc25a38	0.19	3.74	0.67	1.00
ENSMUSG00000032518	Rpsa	0.06	7.23	0.91	1.00
ENSMUSG00000111028	RP24-87K15.4	-1.70	-2.28	0.85	1.00
ENSMUSG00000032517	Mobp	-0.01	9.13	1.00	1.00
ENSMUSG00000111360	RP24-87K15.6	1.80	-0.22	0.10	0.48
ENSMUSG00000111498	RP24-87K15.7	-0.44	-2.39	1.00	1.00
ENSMUSG00000041794	Myrip	-0.60	4.36	0.02	0.15
ENSMUSG00000083772	Gm15566	-1.41	-1.97	0.53	1.00
ENSMUSG00000006941	Eif1b	0.25	7.70	0.36	1.00
ENSMUSG00000111816	RP23-366E1.5	1.71	-2.51	0.73	1.00
ENSMUSG00000041608	Entpd3	-0.23	3.69	0.59	1.00
ENSMUSG00000025794	Rpl14	-0.01	6.38	1.00	1.00
ENSMUSG00000052658	5830454E08Rik	-0.79	-0.01	0.40	1.00
ENSMUSG00000110760	RP24-264F17.6	-1.74	-2.38	0.64	1.00
ENSMUSG00000111533	RP24-264F17.4	-1.44	-2.27	0.81	1.00
ENSMUSG00000110726	RP23-242K3.6	-1.73	-2.88	1.00	1.00
ENSMUSG00000111270	RP23-242K3.1	2.28	-2.80	0.88	1.00
ENSMUSG00000111720	RP23-242K3.5	2.59	-2.73	0.84	1.00
ENSMUSG00000111094	RP24-499N24.4	0.16	-1.64	1.00	1.00
ENSMUSG00000111528	RP24-499N24.6	-1.72	-2.88	1.00	1.00
ENSMUSG00000006932	Ctnnb1	0.55	8.37	0.74	1.00
ENSMUSG00000040936	Ulk4	-0.91	2.49	0.01	0.06
ENSMUSG00000032536	Trak1	-0.17	6.40	0.58	1.00
ENSMUSG00000032532	Cck	-0.54	8.04	0.03	0.21
ENSMUSG00000111598	RP23-241P13.4	-3.64	-2.57	0.40	1.00
ENSMUSG00000110814	RP23-241P13.5	0.03	-1.36	1.00	1.00
ENSMUSG00000032530	Lyzl4	-0.43	-1.04	0.89	1.00
ENSMUSG00000032528	Vipr1	-0.30	3.23	0.36	1.00
ENSMUSG00000061536	Sec22c	-0.38	4.72	0.15	0.62
ENSMUSG00000032526	Ss18l2	-0.41	5.69	0.07	0.35
ENSMUSG00000032525	Nktr	0.02	7.89	1.00	1.00
ENSMUSG00000013419	Zfp651	-0.22	5.53	0.55	1.00
ENSMUSG00000074001	Klhl40	0.51	3.13	0.13	0.56
ENSMUSG00000032523	Hhatl	-0.02	3.58	1.00	1.00
ENSMUSG00000079235	Ccdc13	-0.84	1.60	0.03	0.19
ENSMUSG00000038412	Higd1a	-0.07	5.44	0.93	1.00
ENSMUSG00000111465	RP24-93F20.9	-1.78	-0.92	0.02	0.17
ENSMUSG00000044534	Ackr2	0.17	0.05	1.00	1.00
ENSMUSG00000050445	Cyp8b1	-1.72	-2.88	1.00	1.00
ENSMUSG00000111141	RP23-366E4.2	-1.73	-2.88	1.00	1.00
ENSMUSG00000043773	1700048O20Rik	-0.13	2.79	0.86	1.00
ENSMUSG00000038233	Fam198a	-1.57	1.33	0.00	0.00
ENSMUSG00000066235	Pomgnt2	-0.37	5.18	0.25	0.83
ENSMUSG00000110729	RP23-366E4.9	-0.97	-2.72	1.00	1.00
ENSMUSG00000111389	RP23-366E4.10	-0.61	-0.57	0.58	1.00
ENSMUSG00000111785	RP24-325N9.2	2.01	-2.81	1.00	1.00
ENSMUSG00000038145	Snrk	-0.21	7.36	0.45	1.00
ENSMUSG00000111434	RP24-325N9.5	-0.40	3.40	0.32	0.94
ENSMUSG00000037949	Ano10	0.51	4.61	0.04	0.23
ENSMUSG00000097572	Gm26797	3.12	2.17	0.00	0.00
ENSMUSG00000032540	Abhd5	-0.16	4.46	0.70	1.00
ENSMUSG00000111192	RP23-12I4.4	0.45	-2.14	1.00	1.00
ENSMUSG00000111244	RP23-12I4.7	-2.47	-2.80	0.84	1.00
ENSMUSG00000111221	RP24-198N9.1	-2.48	-2.80	0.88	1.00
ENSMUSG00000097736	9530059O14Rik	-1.07	5.12	0.00	0.00
ENSMUSG00000111837	RP23-361B11.3	-0.88	4.81	0.02	0.14
ENSMUSG00000111068	RP23-92N3.1	-0.91	-2.10	0.84	1.00
ENSMUSG00000094985	Topaz1	-0.84	-2.27	0.93	1.00
ENSMUSG00000046603	Tcaim	-0.12	4.37	0.78	1.00
ENSMUSG00000047036	Zfp445	-0.14	7.01	0.65	1.00
ENSMUSG00000111325	RP23-438P19.7	-1.39	-0.33	0.07	0.37
ENSMUSG00000097322	A530083I20Rik	0.11	-1.44	1.00	1.00
ENSMUSG00000063488	Zkscan7	-0.94	1.98	0.10	0.47
ENSMUSG00000111063	RP23-438P19.11	-0.83	1.35	0.06	0.33
ENSMUSG00000111710	RP23-438P19.10	3.76	-2.46	0.27	0.87
ENSMUSG00000057895	Zfp105	0.12	1.06	0.95	1.00
ENSMUSG00000111163	RP23-438P19.12	0.34	1.64	0.63	1.00
ENSMUSG00000032551	1110059G10Rik	0.32	4.48	0.28	0.89
ENSMUSG00000036768	Kif15	0.88	2.02	0.14	0.59
ENSMUSG00000066233	Tmem42	-0.53	3.46	0.11	0.51
ENSMUSG00000025787	Tgm4	-0.05	-1.16	1.00	1.00
ENSMUSG00000025786	Zdhhc3	0.10	5.81	0.84	1.00
ENSMUSG00000025785	Exosc7	-0.16	4.54	0.73	1.00
ENSMUSG00000025784	Clec3b	-1.39	2.20	0.00	0.00
ENSMUSG00000035498	Cdcp1	0.17	-1.56	1.00	1.00
ENSMUSG00000054871	Tmem158	-0.16	6.90	0.63	1.00
ENSMUSG00000058492	Scp2-ps2	0.07	6.86	0.96	1.00
ENSMUSG00000035202	Lars2	0.23	5.31	0.49	1.00
ENSMUSG00000025239	Limd1	0.54	4.68	0.04	0.27
ENSMUSG00000025240	Sacm1l	0.20	5.73	0.93	1.00
ENSMUSG00000025243	Slc6a20b	0.14	-0.74	1.00	1.00
ENSMUSG00000036814	Slc6a20a	0.43	4.41	0.07	0.36
ENSMUSG00000090608	Gm17200	-1.24	-2.39	0.92	1.00
ENSMUSG00000029530	Ccr9	-0.04	-0.15	1.00	1.00
ENSMUSG00000058922	Gm10052	-0.59	-1.71	0.88	1.00
ENSMUSG00000025245	Lztfl1	0.07	5.49	0.91	1.00
ENSMUSG00000025241	Fyco1	-0.32	5.47	0.38	1.00
ENSMUSG00000048521	Cxcr6	4.07	0.27	0.00	0.00
ENSMUSG00000060509	Xcr1	-0.97	-2.72	1.00	1.00
ENSMUSG00000111148	WI1-1203N12.2	-0.71	-2.58	1.00	1.00
ENSMUSG00000025804	Ccr1	4.93	2.52	0.00	0.00
ENSMUSG00000035448	Ccr3	-0.64	-2.33	0.85	1.00
ENSMUSG00000049103	Ccr2	4.75	3.19	0.00	0.00
ENSMUSG00000079227	Ccr5	3.14	3.75	0.00	0.00
ENSMUSG00000110834	CAAA01180111.2	0.27	1.40	0.73	1.00
ENSMUSG00000074829	2010315B03Rik	-0.63	3.21	0.11	0.52
ENSMUSG00000111733	CAAA01216754.1	-0.20	-2.80	1.00	1.00
ENSMUSG00000093803	Ppp2r3d	0.07	4.74	0.95	1.00
ENSMUSG00000111242	CH25-395E5.2	0.11	-1.04	1.00	1.00
ENSMUSG00000091618	H60c	1.39	-2.89	1.00	1.00
ENSMUSG00000097541	Gm26752	-1.16	-2.51	0.98	1.00
ENSMUSG00000040653	Ppp1r14c	-0.50	3.67	0.08	0.39
ENSMUSG00000019762	Iyd	-1.26	0.01	0.02	0.17
ENSMUSG00000040624	Plekhg1	-0.07	4.24	0.93	1.00
ENSMUSG00000082605	Gm16148	0.43	-2.73	1.00	1.00
ENSMUSG00000040675	Mthfd1l	0.68	3.46	0.12	0.52
ENSMUSG00000082247	Gm16074	0.06	-2.28	1.00	1.00
ENSMUSG00000038587	Akap12	1.19	6.43	0.00	0.00
ENSMUSG00000075327	Zbtb2	1.08	3.24	0.00	0.02
ENSMUSG00000095123	Gm21781	0.42	3.38	0.20	0.73
ENSMUSG00000019763	Rmnd1	-0.76	3.84	0.01	0.10
ENSMUSG00000085687	Gm16153	-3.09	-0.25	0.15	0.62
ENSMUSG00000061759	Armt1	-0.75	4.65	0.00	0.03
ENSMUSG00000019767	Ccdc170	-0.06	-1.29	1.00	1.00
ENSMUSG00000019768	Esr1	0.69	1.99	0.11	0.52
ENSMUSG00000096054	Syne1	-0.35	8.55	0.11	0.52
ENSMUSG00000096553	Gm10097	-3.63	-2.58	0.58	1.00
ENSMUSG00000046916	Myct1	-0.56	-0.49	0.59	1.00
ENSMUSG00000019772	Vip	-0.33	4.16	0.49	1.00
ENSMUSG00000110983	RP24-178D16.2	0.12	-2.45	1.00	1.00
ENSMUSG00000019773	Fbxo5	1.42	1.60	0.00	0.00
ENSMUSG00000019774	Mtrf1l	-0.46	3.32	0.21	0.76
ENSMUSG00000019775	Rgs17	-0.42	7.44	0.03	0.21
ENSMUSG00000111902	RP24-64G24.2	-1.16	-2.73	1.00	1.00
ENSMUSG00000000766	Oprm1	-0.89	0.56	0.23	0.79
ENSMUSG00000064065	Ipcef1	-0.32	5.46	0.36	1.00
ENSMUSG00000081926	Gm15536	-0.01	7.53	1.00	1.00
ENSMUSG00000015202	Cnksr3	0.47	3.67	0.12	0.54
ENSMUSG00000112057	RP23-464F18.1	1.39	-2.89	1.00	1.00
ENSMUSG00000079685	Ulbp1	3.75	-0.18	0.00	0.00
ENSMUSG00000112474	RP23-464F18.3	0.90	-0.73	0.46	1.00
ENSMUSG00000019796	Lrp11	-0.01	6.22	1.00	1.00
ENSMUSG00000019795	Pcmt1	-0.23	7.16	0.33	0.96
ENSMUSG00000040034	Nup43	-0.40	1.67	0.44	1.00
ENSMUSG00000040021	Lats1	0.27	4.72	0.42	1.00
ENSMUSG00000019794	Katna1	0.92	4.56	0.00	0.00
ENSMUSG00000040006	Ginm1	0.61	4.25	0.03	0.18
ENSMUSG00000015757	Ppil4	-0.09	6.16	0.88	1.00
ENSMUSG00000081497	Gm15560	1.39	-2.89	1.00	1.00
ENSMUSG00000039981	Zc3h12d	3.31	-0.52	0.00	0.00
ENSMUSG00000015755	Tab2	0.64	6.95	0.00	0.04
ENSMUSG00000112360	RP23-7P15.3	-0.19	-2.80	1.00	1.00
ENSMUSG00000112109	RP23-388A21.2	-1.56	-1.14	0.31	0.93
ENSMUSG00000047712	Ust	-0.24	4.29	0.43	1.00
ENSMUSG00000015305	Sash1	0.13	6.75	0.81	1.00
ENSMUSG00000111731	RP23-225D5.4	-6.87	-0.86	0.05	0.29
ENSMUSG00000111674	RP23-5H4.1	-2.48	-2.80	0.88	1.00
ENSMUSG00000112019	RP24-572P24.2	1.52	-2.89	1.00	1.00
ENSMUSG00000112700	RP24-75H6.3	-3.34	-2.65	0.42	1.00
ENSMUSG00000112162	RP24-75H6.4	-2.50	-2.80	0.84	1.00
ENSMUSG00000112303	RP24-75H6.5	-2.48	-2.80	0.88	1.00
ENSMUSG00000060487	Samd5	-1.09	4.60	0.00	0.00
ENSMUSG00000111901	RP23-268A17.3	-1.69	-2.89	1.00	1.00
ENSMUSG00000019790	Stxbp5	0.20	5.88	0.48	1.00
ENSMUSG00000112146	RP24-80O9.4	0.83	-2.45	0.99	1.00
ENSMUSG00000101621	Gm28905	-0.35	-2.03	1.00	1.00
ENSMUSG00000112074	RP23-276C6.3	-2.49	-2.80	0.84	1.00
ENSMUSG00000112713	RP23-276C6.4	-4.31	-1.24	0.17	0.67
ENSMUSG00000112060	RP23-245C15.4	-0.86	1.32	0.20	0.74
ENSMUSG00000109160	4930598N05Rik	-2.91	-2.72	0.77	1.00
ENSMUSG00000112573	RP23-187C5.4	-1.72	-2.88	1.00	1.00
ENSMUSG00000050994	Adgb	1.56	0.69	0.01	0.06
ENSMUSG00000112351	RP24-460M18.2	0.33	-2.73	1.00	1.00
ENSMUSG00000019832	Rab32	3.04	3.18	0.00	0.00
ENSMUSG00000098065	Gm5177	0.80	-2.27	0.84	1.00
ENSMUSG00000019828	Grm1	-0.11	6.52	0.79	1.00
ENSMUSG00000090112	Shprh	0.19	5.07	0.55	1.00
ENSMUSG00000097007	4930432B10Rik	-1.06	-2.51	1.00	1.00
ENSMUSG00000047648	Fbxo30	0.23	3.05	0.65	1.00
ENSMUSG00000055493	Epm2a	-0.11	4.80	0.84	1.00
ENSMUSG00000045455	Gm9797	1.04	1.35	0.04	0.24
ENSMUSG00000111995	RP23-39C23.2	3.19	-2.65	0.71	1.00
ENSMUSG00000019820	Utrn	-0.19	6.31	0.58	1.00
ENSMUSG00000097378	B230208H11Rik	0.63	0.10	0.60	1.00
ENSMUSG00000039232	Stx11	4.76	3.11	0.00	0.00
ENSMUSG00000078348	Sf3b5	-0.02	6.04	1.00	1.00
